id,question,option_a,option_b,option_c,option_d,answer
q1,,,,,,C
q2,,,,,,B
q3,"When changing the password of a school Intranet account, which of the following is an example of data verification?",Input a new password twice.,Input a new password and a mobile phone number.,Input a new password that consists of at least one special character.,Input the old password and a new password.,A
q4,"The file sizes of the following original files are all 1 MB. Under normal circumstances, after compressing them, which compressed file has the largest file size? (original file, compressed file)","testA.html, testA.zip","testB.doc, testB.zip","testC.txt, testC.zip","testD.jpg, testD.zip",D
q5,Which of the following character encoding methods can be used to represent Korean text? (1) ASCII (2) Unicode (3) Big-5 code,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q6,Which of the following are appropriate for presenting a storyboard? (1) A slide show (2) A multimedia document (3) A database file,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
q7,"A company designs a mobile application to process staff records. In each record, 10 bits are used to store staff numbers and 12 bytes are used to store Chinese names. How many staff records can the mobile application support?",2^10,2^12,2^22,2^96,A
q8,"John writes a program to process student information, including student name, average mark and number of subjects taken. Which data types should John use for storing the corresponding student information? (Student name; Average mark; Number of subjects taken)",Boolean; integer; real,Boolean; real; integer,character; integer; real,character; real; integer,D
q9,Which of the following is the 8-bit two's complement representation of the decimal value -8?,1000 1000,1111 1000,1000 0000,0000 1000,B
q10,Mary inserts a hyperlink in a document file. What are the possible consequences when following the hyperlink? (1) Open a video file. (2) Jump to another page of this document. (3) Jump to a page of another document.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",D
q11,"A text file contains a character string '*IT*'. Peter uses a program to view the ASCII codes of the character string in the hexadecimal number system, as shown below: 2A 49 54 2A How many bits are required to store the character string?",8,16,32,64,C
q12,Which of the following elements can be included in a PDF file? (1) Photos (2) Videos (3) Hyperlinks,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",D
q13,,,,,,C
q14,Which of the following statements about mail merge is correct?,Only one file is needed in each mail merge.,Mail merge is mainly used for sending email.,Data can be sorted and filtered for a mail merge.,Mail merge usually involves presentation software.,C
q15,Free online encyclopedias such as Wikipedia contain a huge number of articles. Which of the following statements about the online encyclopedias are correct? (1) People can search the relevant articles for a topic quickly. (2) The articles have no copyright. (3) These encyclopedias are updated frequently.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",B
