id,question,option_a,option_b,option_c,option_d,answer
q1,Which of the following statements about two's complement is/are correct? (1) Overflow errors will not occur in arithmetic operations. (2) The maximum value for an 8-bit number is 0111 1111. (3) The minimum value for an 8-bit number is 1111 1111.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q2,Peter creates a school newsletter and posts it on a web page. The newsletter is in portable document format (PDF) instead of word document format because (1) hyperlinks can be included. (2) the newsletter will be displayed in the same way on any device. (3) the resolution of images in the newsletter will be higher.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q3,"In order for a factory manager to decide on the number of machines to be bought to produce pencils, he needs to consider time and cost constraints. What spreadsheet feature should he use to do this?",Pivot table,Multiple worksheets,â€˜What-if' analysis,Sorting data using multiple criteria,C
q4,Mary uses a text editor to enter 5 traditional Chinese characters and saves them in a text file. The file size is 10 bytes. Which of the following statements about the text file is/are correct? (1) Each Chinese character occupies 2 bytes. (2) ASCII code is used to represent the characters. (3) The text file does not support Big-5 code.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q5,"The file sizes of the following original files are all 10 MB. After converting them, which converted file has the smallest file size, under normal circumstances?",testA.MP4 to testA.AVI,testB.MP3 to testB.WAV,testC.BMP to testC.JPG,testD.GIF to testD.BMP,C
q6,,,,,,B
q7,,,,,,D
q8,Eva creates a report with 200 pages. Which of the following word processing operations can reduce the number of pages used? (1) Change the line spacing of the text. (2) Change the text alignment. (3) Change the margins of pages. (4) Create a table of contents with hyperlinks.,(1) and (3) only,(1) and (4) only,(2) and (3) only,(2) and (4) only,A
q9,"Radio frequency identification (RFID) readers are installed in the door of an office. Amy has an ID badge containing a RFID tag with a 2 KB storage capacity. Her personal information occupies 200 bytes. Every time she enters or leaves the office, a record of 40 bytes is created and stored on her badge. How many records can the badge store?",44,46,48,50,B
q10,A device is sending 8-bit data in a network where the last bit is a parity bit. One of the following received data has an error. Which one is it?,0010 0010,1111 0000,0011 0011,1010 0111,D
q11,,,,,,C
q12,"An IP address (IPv6) consists of 8 groups of 4-digit hexadecimal numbers separated by colons, as shown in the following example: 2001:08AB:2347:AFF0:1234:CC23:98D2:1A45 How many possible addresses are there in this IP addressing?",2^32,16^32,32^2,32^16,B
q13,Which of the following is the least important when creating a self-running presentation?,Template,Slide layout,Insertion of pictures,Index,D
q14,"Susan plans to buy a new computer for video editing. In general, which of the following is the least important factor that she should consider?",Computation power,RAM size,Number of USB ports,Hard disk storage capacity,C
q15,Which of the following statements about the accumulator in a CPU is correct?,It is used by the Arithmetic and Logic Unit (ALU) for calculation.,It is used by the Control Unit (CU) to store a memory address temporarily.,It stores the memory address of the next instruction to be executed.,It controls the flow of data in a bus.,A
q16,What is the possible outcome of lowering the clock rate of a CPU in a desktop computer?,Consumes less electricity.,Increases the accuracy of computation.,Enhances the performance of the WiFi connection.,Increases the protection of the computer from hacking.,A
q17,,,,,,A
q18,Which of the following systems depends on network connectivity?,Real-time system,Single-user system,Batch processing system,Distributed processing system,D
q19,Arrange the following in ascending order by data transfer rate. (1) Solid State Drive (SSD) (2) Memory cache (3) RAM,"(1), (3), (2)","(1), (2), (3)","(3), (2), (1)","(3), (1), (2)",A
q20,Which of the following are the major networking functions of a typical computer operating system? (1) Allowing communication between computers (2) Controlling the network bandwidth of a connection between two computers (3) Providing some measure of network security to protect the computers from unauthorised access,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",B
q21,,,,,,D
q22,Which of the following are the advantages of using a LAN over a WAN? (1) Higher data transfer rate (2) Larger network coverage (3) Lower setup cost,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",B
q23,The following two URLs can be used to access the same web site: http://202.8.88.24™ and ˜http://www.hkedcity.net™ Which of the following statements about the two URLs is/are correct? (1) The DNS server may translate 'www.hkedcity.ne' to '202.8.88.24'. (2) A URL must include HTTP. (3) The web pages accessed through the IP address are more secure.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q24,What is/are the advantage(s) of using a network connection on a leased line instead of by broadband? (1) The connection is more reliable. (2) The cost is lower. (3) The bandwidth is guaranteed.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,C
q25,"In HTML, which of the following are the attributes of a table (TABLE)? (1) URLs of the contents of cells (2) Space between cells (3) Media types of the contents of cells (4) Background colour",(1) and (3) only,(1) and (4) only,(2) and (3) only,(2) and (4) only,D
q26,Which of the following activities transfers minimal data through the Internet?,Sending an email of 10 KB with a 2 MB audio file to 50 receivers,Uploading and converting an image of 10 MB to JPG format using an online tool,Updating a web page of 10 KB containing a hyperlink to a 2 GB file,Watching a 60-minute video of 500 MB online using streaming technology,C
q27,Which of the following statements about streaming technology is/are correct? (1) A music performance can be viewed live. (2) HTTP cannot be used. (3) Illegal distribution of movies can be controlled.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q28,,,,,,A
q29,,,,,,A
q30,,,,,,D
q31,,,,,,C
q32,,,,,,B
q33,,,,,,D
q34,,,,,,C
q35,ABC Coffee Shop offers free WiFi for customers. The details are: (ABC Coffee Shop - A 30-minute session of free WiFi service - SSID: abc; Password: YWS1818abc - Unencrypted connection - 128 Kbps maximum bandwidth). Customers should not use the WiFi connection for online banking because,the free session is too short.,the SSID is too short and easily guessed.,the data passing through the connection is not encrypted.,the maximum bandwidth is still too low.,C
q36,A photographer posts his photos to a social media web site for the public to look at. Which of the following can be applied to the photo to protect his intellectual property?,Hong Kong Public Key Infrastructure (PKI),Secure Sockets Layer (SSL),Digital certificate,Digital watermark,D
q37,Which of the following will help overcome the digital divide in a city? (1) Implementing a Bring-Your-Own-Device (BYOD) policy in schools to replace desktop computers (2) Providing more free WiFi hotspots (3) Providing more than one free email account for each citizen,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q38,Ms Li finds that the file server in her company is infected by ransomware. Some important document files have been encrypted and cannot be opened. What should she do? (1) Try to put the encrypted files in another file server and open them. (2) Report the incident to the police. (3) Pay the ransom to acquire the password.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q39,Why do people develop open source software? (1) They want to earn more money from selling their software. (2) They want more people to use their software. (3) They want to own the copyright of the software.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q40,Which of the following actions will most likely infringe copyright in Hong Kong?,Using peer-to-peer file sharing software to share personal videos,Broadcasting a street view live through a social media web site,Uploading TV programmes to a personal web site and sharing them with friends,Using peer-to-peer file sharing software to search for an audio file,C
