id,question,option_a,option_b,option_c,option_d,answer
q1,"In a spreadsheet, 5-digit membership numbers for a sports club, 00001, 00002, …, 99999, are entered in some cells. Which of the following cell formats should be used?",General format,Number format,Text format,Scientific notation format,C
q2,"In a device, 8 bits and 16 bits are used to store a character and an integer respectively. How many bytes are required to store the string 'HKDSE5'?",6 bytes,7 bytes,48 bytes,56 bytes,A
q3,Study the following three SQL commands. SELECT * FROM MEMBER; SELECT * FROM MEMBER WHERE age <= 40; SELECT * FROM MEMBER WHERE age >= 20; The results of the three SQL commands are the same. Which of the following is/are the possible cause(s)? (1) MEMBER is empty. (2) The values of the field age in MEMBER range from 20 to 40 inclusive. (3) age is the only field in MEMBER.,(1) only,(3) only,(1) and (2) only,(2) and (3) only,C
q4,"Mary produces daily sales reports for a supermarket on a word processor, using the data and charts stored in several spreadsheet files. The data and charts are updated frequently. Which of the following is most helpful to her?",Mail merge,'what-if' scenarios,Object linking and embedding,SQL,C
q5,A code consists of 6 digits where the digit on the far right is a check digit. The check digit method used for the code is that the sum of all 6 digits is divisible by 10. Which of the following codes is valid?,246822,246824,246826,246828,D
q6,Mary creates a compressed file containing image files stored in several folders. She uploads the compressed file to the Internet for sharing with her friends. What are the benefits of using a compressed file? (1) The folder structure can be maintained. (2) Mary's friends can preview the images before downloading the compressed file. (3) The compressed file can be protected by password.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",B
q7,"Consider the following values, P, Q and R. P = 10001000 (base 2)� Q = 10001000 (base 10)� R = 10001000 (base 16)� Which of the following is correct?",P > Q > R,P > R > Q,R > P > Q,R > Q > P,D
q8,1111 1111 is an 8-bit number using two's complement representation. What is its decimal value?,-1,0,1,255,A
q9,Which of the following are characteristics of the Information Age? (1) Information is widely distributed via the Internet. (2) Information can be quickly accessed by the public. (3) All company information on the Internet is correct.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
q10,"When editing numerical data in a spreadsheet, which of the following statements is correct?",Only relevant numerical data will be updated automatically.,Only relevant charts with the numerical data will be updated automatically.,Only relevant data in a single worksheet will be updated automatically.,Relevant data in multiple worksheets will be updated automatically.,D
q11,Which of the following items can be included in a portable document format (PDF) file? (1) Hyperlinks (2) Photos (3) Formatted text,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",D
q12,,,,,,D
q13,,,,,,C
q14,Mary uses presentation software to create a self-running slide show with verbal commentary. She uploads the slide show to her web site so that the public can view it. Which of the following must Mary do when creating the slide show?,Set the timing of each slide.,Create hyperlinks in the slides.,Create animation effects in the slides.,Insert background music in the slides.,A
q15,"Mary uses presentation software to create a self-running slide show with verbal commentary. She uploads the slide show to her web site so that the public can view it. When Mary chooses the file format for the slide show, which of the following is important?",Encryption support,Cross-platform,Object Linking and Embedding (OLE),SQL support,B
q16,Which of the following is/are the advantage(s) of using Unicode over Big-5 code? (1) Unicode is cross-platform. (2) Unicode has a bigger character set. (3) New characters can be defined in Unicode.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q17,A booking system consists of several booking counters in different locations in a city. Customers can buy tickets for theatres through one of the booking counters. Which of the following best describes the booking system?,Real-time system,Batch processing system,Distributed processing system,Parallel processing system,A
q18,"Peter finds that when editing video files, the performance of his home computer is better than that of his office computer. Which of the following is/are the possible cause(s) for this? (1) The read/write access speed of a hard disk (2) The storage size of ROM (3) CPU's clock rate",(1) only,(2) only,(1) and (3) only,(2) and (3) only,C
q19,Which of the following functions will an operating system usually provide? (1) Control of processes (2) Allocation of memory (3) Record of network traffic,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",D
q20,The clock rate of a CPU is 2 GHz. Which of the following statements is correct?,The CPU executes 2 × 10⁹ instructions in a second.,The CPU performs 2 × 10⁹ clock cycles in a second.,The cache memory of the CPU transfers 2 × 10⁹ instructions in a second.,The ALU of the CPU takes 2 × 10⁹ clock cycles for an instruction.,B
q21,Peter upgrades a server by replacing the hard disk with a solid-state disk (SSD). Which of the following properties of SSD benefit(s) the upgrade? (1) Higher data transfer rate (2) Lower power consumption (3) Smaller storage capacity,(2) only,(3) only,(1) and (2) only,(1) and (3) only,C
q22,"When a personal computer is turned on, it loads data from the ROM and checks that all major components are functioning properly. ROM cannot be replaced by RAM in this process because",the storage size of RAM is smaller.,RAM is volatile.,the data transfer rate of RAM is lower.,RAM is random access.,B
q23,The Internet of Things (IoT) refers to the networks formed by devices which can collect and exchange data. The networks are usually connected to the Internet. Which of the following items should the devices usually have?,an IP address,a CPU with a high processing power,a DNS,a large storage capacity,A
q24,Peter watches a webcasting video at home using streaming technology and finds that the video does not play smoothly. Which of the following are the possible causes? (1) Duration of the video (2) Method of Internet access (3) Bandwidth of the Internet connection,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C
q25,The Hong Kong Special Administrative Region Government has set up GovWiFi to provide free wireless Internet access and citizens can opt to use the unencrypted connection or the encrypted connection. Which of the following statements is correct?,Citizens can only enjoy Internet access at designated spots.,Citizens cannot access online banking web sites through the unencrypted connection.,Citizens' devices can be protected from computer viruses through the encrypted connection.,Citizens will have priority to book the Government leisure facilities through GovWiFi.,A
q26,Mr Li considers some communication links for building a network in a company and compares their effective data transfer rates. Which of the following comparisons is correct?,Cat 6 (twisted pair) < Satellite < Fibre optics,Satellite < Cat 6 (twisted pair) < Fibre optics,Cat 6 (twisted pair) < Fibre optics < Satellite,Satellite < Fibre optics < Cat 6 (twisted pair),B
q27,Peter plans to upload the background music of his school web site but the web site has limited storage space. Which of the following file formats is appropriate?,WAV,AVI,MPEG2,MP3,D
q28,"When placing a table in a web page, which of the following is not a table setting?",Number of cells,Formulas in cells,Colour of cells,Width of the table,B
q29,,,,,,A
q30,,,,,,D
q31,,,,,,B
q32,,,,,,B
q33,,,,,,A
q34,A bank has a secure room which only a few staff members can enter. Which of the following security measures is the most secure one for controlling access?,password,smart card,fingerprint,key,C
q35,,,,,,D
q36,Cathy receives an anonymous email about changing the password of her online banking account. She clicks the hyperlink in the email and a malicious web site is displayed. Which of the following actions can help Cathy ensure that she is browsing a trusted web site?,Ensure that the domain name does not contain '.ru'.,Verify the digital certificates of the web site.,Follow hyperlinks in emails sent by friends instead of anonymously.,Enable a firewall before browsing the Internet.,B
q37,"What is the aim of the following policy? ""The Government helps families in need acquire computers and Internet access, and delivers personal support and training to them so children and parents can tap the online world's potential.""",Promoting the freedom of information on the Internet,Supporting e-government services,Promoting the change in the nature of work,Bridging the digital divide,D
q38,Peter is a student and does the following actions. Which of them are illegal? (1) Uses a BT program to share his homework. (2) Uses a BT program to download copyrighted songs for his own use. (3) Buys copyrighted software and makes copies for his best friends only.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C
q39,"Mary downloads three types of programs, P, Q and R from the Internet. She can use P for a trial period, changes the source code of Q and only uses some functions in R. Which type(s) of program is/are shareware?",P only,Q only,P and R only,Q and R only,C
q40,,,,,,A
