id,question,option_a,option_b,option_c,option_d,answer
q1,,,,,,D
q2,,,,,,A
q3,Which of the following are the major benefits of using Object Linking and Embedding (OLE) in office automation software? (1) Data from different applications can be included in a single file. (2) Data from different applications can remain synchronised. (3) Data from different applications can be stored in the same folder.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
q4,Amy plans to upload her photos to cloud storage. What is the benefit of using JPG format instead of BMP format in this case?,Decreases the width and length of the photos.,Decreases the file size of the photos.,Increases the number of pixels in the photos.,Increases the number of colours in the photos.,B
q5,"When a digital photo is printed on photo paper, the top and bottom parts of the photo paper are unused. What is/are the possible reason(s) for this? (1) The aspect ratios of the digital photo and the photo paper are not the same. (2) The file size of the digital photo is too large. (3) The colour depth of the digital photo is too low.",(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q6,,,,,,C
q7,"When creating an online email account, the following step needs to be completed. Enter password: ********* Re-enter password: ********* What is the purpose of re-entering the password?",Data collection,Data verification,Data organisation,Data validation,B
q8,Which of the following actions involve the conversion of analog to digital data? (1) Using software to convert a spreadsheet file into a PDF file (2) Using software to convert speech to text (3) Using a digital camera to take photos,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C
q9,,,,,,D
q10,What is the major benefit of using a form in a database management system?,Simplifies data entry.,Simplifies report printing.,Saves storage space.,Filters data in a single database table.,A
q11,"For a chain convenience store, in which of the following examples should 'what-if' scenarios in spreadsheets be used? (1) Estimates monthly expenses by changing different parameters. (2) Produces monthly sales analysis. (3) Compares sales data from different branches.",(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q12,The following calculations involve 8-bit numbers using two's complement representation. Which one will generate an overflow error?,0001 0101 + 1000 1000,0111 0011 + 1000 1000,1100 0110 + 1000 1000,1111 1100 + 1000 1000,C
q13,,,,,,A
q14,Colour codes are used when defining the background colour on a web page. What is the range of hexadecimal values for the colour codes?,0 to 99,0 to FF,1 to 64,1 to AA,B
q15,Which of the following items is/are system software? (1) Spreadsheet software (2) Operating system (3) Driver program,(1) only,(2) only,(1) and (3) only,(2) and (3) only,D
q16,Consider the following steps in a machine cycle for a particular instruction: (1) Executes the instruction. (2) Writes data in memory. (3) Translates the instruction into the operation code and operands. (4) Retrieves the instruction from memory. What is the correct order of the steps?,(3) > (1) > (2) > (4),(3) > (2) > (4) > (1),(4) > (1) > (3) > (2),(4) > (3) > (1) > (2),D
q17,A computer is used to edit videos. Which of the following specifications have a significant impact on the performance of the computer? (1) Size of RAM (2) Number of USB ports (3) CPU clock rate,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",B
q18,Which of the following statements about the registers in CPU is correct?,Their read/write data transfer rates are high.,Their functions are the same.,They are used as secondary storage.,Their total storage size is usually larger than 1 GB.,A
q19,What information is usually provided by the system monitoring software in an operating system? (1) Current processes (2) Memory usage (3) Network traffic,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",D
q20,Which of the following is/are the government e-services provided by GovHK? (1) Enrolling for community recreation and sports programmes (2) Applying for admission to universities in Hong Kong (3) Renewing borrowed public library books,(1) only,(2) only,(1) and (3) only,(2) and (3) only,C
q21,Mary wants to buy a keyboard for her tablet computer. Which of the following connections is/are commonly used for keyboards? (1) Fibre optics (2) USB cable (3) Bluetooth,(1) only,(2) only,(1) and (3) only,(2) and (3) only,D
q22,Bank customers can withdraw cash from their accounts through Automated Teller Machines (ATMs). Which of the following systems best describe(s) this operation? (1) Interactive system (2) Real-time system (3) Batch processing system,(2) only,(3) only,(1) and (2) only,(1) and (3) only,C
q23,Which of the following is the major function of a switch in a school computer network?,Facilitates data transmission between computers.,Prevents unauthorised access.,Increases the network bandwidth.,Provides email services for users.,A
