id,question,option_a,option_b,option_c,option_d,answer
q1,A bus company provides an online service for passengers to find bus routes. What information should passengers input? (1) Starting point (2) Destination (3) Number of bus stops (4) Bus fare,(1) and (2) only,(1) and (4) only,(2) and (3) only,"(1), (3) and (4) only",A
q2,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?,11101001 11101010,01001111 01010000,00001001 00001010,11110110 11110111,A
q3,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
q4,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue,"(1), (3) and (5) only","(3), (4) and (5) only","(1), (2), (3) and (4) only","(2), (3), (4) and (5) only",B
q5,"Peter and Mary share a database file X and execute database queries, T1 and T2, respectively. Which of the following activities should the database management system not do? (1) When T1 is reading X, T2 is reading X. (2) When T1 is writing records in X, T2 is writing records in X. (3) When T1 is deleting records in X, T2 is reading X.",(1) only,(2) only,(1) and (3) only,(2) and (3) only,D
q6,Which of the following statements about clicking a hyperlink in a presentation file is correct?,The hyperlink needs to involve HTTP.,"A browser will not open when the hyperlink is ""http://hkeaa.edu.hk/hke.doc"".",A PDF reader will usually open when the hyperlink links to a PDF file.,The presentation file will close automatically when the hyperlink links to another presentation file.,C
q7,,,,,,D
q8,,,,,,D
q9,Assume that every household has a residential telephone number. In which of the following database applications could the residential telephone number be used as a key field?,Towngas accounts,Student personal profiles,Personal bank accounts,Library cards,A
q10,Why should a software suite be used in an IT project? (1) Data used in the project can be shared within the software suite effectively. (2) Data files generated by the software suite are smaller. (3) The project will be in a web-based format.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q11,Which of the following statements about a check digit for a data item is correct?,The data item should not contain more than 8 characters.,The check digit cannot find all errors.,The check digit can correct errors.,The leading character of the data item should be a letter.,B
q12,"When editing a document, which of the following word processing features can enhance its readability? (1) Tables (2) Find and replace (3) Footnotes",(2) only,(3) only,(1) and (2) only,(1) and (3) only,D
q13,,,,,,D
q14,Which of the following is the main development trend for display units in desktop computers?,USB port,CPU computational power,User-friendly driver programs,Energy saving,D
q15,Tom currently uses a software package on a desktop computer. He tries to install this software on his tablet computer but fails. Why? (1) The tablet computer uses a different operating system. (2) The tablet computer uses a virtual keyboard. (3) The tablet computer uses a solid-state drive.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q16,Why do many readers like using mobile devices to read books? (1) The ergonomic design of mobile devices helps relieve eye strain. (2) Mobile devices provide various functions which make reading convenient. (3) It is convenient for carrying a lot of books.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C
q17,Carey wants to upgrade the DDR II 2G 667 MHz RAM of her computer to DDR III 2G 1333MHz RAM with a higher data transfer rate. Which of the following features should be considered?,Motherboard design,CPU computational power,Power consumption,ROM size,A
q18,What is the main purpose of having a memory cache in a CPU?,It increases the total memory storage capacity.,It facilitates the CPU processors on the motherboard.,It supports multi-core processors operating systems.,It supports multi-tasking operating systems.,B
q19,"When buying a wireless broadband router for a network at home, which of the following considerations is not necessary?",The data transfer rate of the broadband connection,Security protocols,The IP address of the router,Coverage of the router,C
q20,Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Which of the following image file types are suitable for her to use? (1) PNG (2) GIF (3) JPG (4) TIFF,(1) and (3) only,(1) and (4) only,(2) and (3) only,(2) and (4) only,A
q21,"Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Before uploading a photo, what should Carol do?","If the file size of the photo is very large, she should divide it into small files for uploading.",She should reduce the photo size to fit the display.,She should adjust the resolution of the photo so that it is as high as possible,She should adjust the number of colours shown in the photo to the highest number possible,B
q22,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. What are the possible reasons for Henry's choice to buy the bag online? (1) He can select and buy the bag during office hours in France. (2) There are many different kinds of bags for Henry to choose from. (3) The bag is not for sale in Hong Kong. (4) He has a credit card to pay for it.,(1) and (3) only,(1) and (4) only,(2) and (3) only,(2) and (4) only,C
q23,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. There are different kinds of online shopping web sites. What features do they usually have? (1) Electronic Fund Transfer (2) A peer-to-peer (p2p) network (3) Mainframe computers (4) A Database Management System (DBMS),(1) and (3) only,(1) and (4) only,(2) and (3) only,(2) and (4) only,B
q24,Which of the following can enhance the security of online banking? (1) Remote logon (2) Tokens (3) Peer-to-peer network,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q25,Why should network interface cards (NICs) be used in a computer network? (1) The network needs to support data transfer at 10GB per second. (2) NICs convert analog signals into digital signals and vice versa.,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B
q26,"When using Internet search engines, it is better to include operators like '-' in search strings because",The search time can be shorter.,The search results include the titles of web pages only.,The search results can be more relevant.,The search results can include both local and foreign web sites.,C
q27,"At home, Mary can access the HKEEA's web site by entering http://www.hkeaa.edu.hk, but she can do it by entering http://210.0.205.228. Why?",The DNS server is out of service.,The web server is out of service.,Her web browser needs an extra plug-in.,The router used at home is out of order.,A
q28,John can view an online video on the computer at home but not on the computer in his school. Why?,The operating system does not support the video playback.,The browsers does not support the video playback.,The video is not in HTML format.,The maximum data transfer rate of the school network is low.,B
q29,"In an IT project, Tom has written the source code. He tests it with valid input data items. What should he do next?",Check the modularity of the program design.,Write the manual.,Draw the flowchart.,Continue to test the program with invalid data items.,D
q30,,,,,,C
q31,,,,,,C
q32,,,,,,D
q33,Which of the following statements about open source software is correct?,It is free of program bugs.,It is cross-platform.,It can be modified and distributed freely.,It runs faster in a networked operating system.,C
q34,,,,,,C
q35,,,,,,B
q36,"At home, John unintentionally detects his neighbour's WiFi network without any security measures. He can fully control the wireless router. What should he do?",Ignore the network connection.,Connect to the network for web browsing only.,Connect to the network for transferring large files only.,Configure the wireless router with an authentication key.,A
q37,Some teenagers in Hong Kong are addicted to playing online games. Which of the following behaviours are common in this group of teenagers? (1) They prefer playing online games to joining face-to-face social activities. (2) They play online games as a way of escaping from daily life problems. (3) They feel irritable when being stopped from using computers.,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",D
q38,"When a virus is spread through a Bluetooth connection, which of the following applications installed on a notebook computer can prevent the infection? (1) Firewall (2) Email client program (3) Browser",(1) only,(2) only,(1) and (3) only,(2) and (3) only,A
q39,The Hong Kong Government launched the Internet Support Learning Programme in 2011. The Programme helps needy students to acquire computer equipment and Internet access services. What issue is the Government addressing?,e-learning,Digital divide,e-government,Web2 .0,B
q40,"In a museum, visitors can stand in front of a kiosk with a monitor and a keyboard to access visitor information. Which of the following relate to ergonomic matters? (1) The viewing angle of the monitor is adjustable. (2) The height of the keyboard tray is adjustable. (3) Provide a mouse.",(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
