id,question,option_a,option_b,option_c,option_d,answer
q1,"In a DBMS, a database designer designs a form for a clerk to use to enter data. Why does he choose to design a form?",Multimedia files can be imported.,It simplifies the user interface.,More data can be entered at the same time.,The data entry uses less system computation time.,B
q2,A public library is going to digitise a collection of valuable antique books. What is the major benefit of digitisation?,The library can destroy the books to save storage space.,More people can easily access the books.,It promotes good ergonomic practices.,It improves the protection of intellectual property.,B
q3,"In data processing, a clerk in a school types in the examination marks of students from a mark sheet into a computer system. Then he prints out the marks. What should he do next?",Destroy the mark sheet.,Sort the students by mark.,Find the student with the highest mark.,Check the printout against the mark sheet.,D
q4,"Mary uses a utility program to group the following 100 document files and combine them into a file named ALL.ZIP, and sends an email with this file. Why does she do this?",It is easier to send and receive the documents.,The file size of the email is smaller.,The files become cross-platform.,(1) and (2) only,A
q5,"Arthur inserts a video clip in a presentation file and sends an email with the file to Betty. When Betty opens the file, there is only text and the video is missing. Why?",The video is infected with a computer virus and has been removed by an antivirus program.,The presentation file is password-protected.,Linking instead of embedding is used when inserting the video in the presentation file.,The video is in MP4 format instead of AVI format.,C
q6,A combination lock consists of 5 separate switches. Each switch can be set to either the 'ON' or 'OFF' state. The lock can only be unlocked when all 5 switches are set to the correct switch states. How many different combinations of switch states does this lock have?,5,10,25,32,D
q7,,,,,,D
q8,Which operations are performed by the following SQL command? SELECT * FROM EXAM WHERE CLASS='1A' ORDER BY SCORE DESC. (1) Sorting (2) Counting (3) Filtering (4) Updating,(1) and (3) only,(1) and (4) only,(2) and (3) only,(2) and (4) only,A
q9,"In a data transmission system, a parity check is applied. One of the following received codes is invalid. Which one is it?",0101 0101,1000 0100,1111 0001,0000 0011,C
q10,,,,,,C
q11,"With 8-bit two's complement representation, which of the following operations can produce an overflow error? (1) Addition of two positive integers and Addition of two negative integers (2) Addition of two negative integers (3) Addition of a positive integer and negative integer",(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
q12,"When editing page numbers and hyperlinks in a document, which of the following statements is correct?",A browser must be open when clicking the hyperlinks.,The page numbers are printed as footnotes.,The hyperlinks facilitate the reading of the document.,The page numbers must start from 1.,C
q13,Which of the following features in presentation software can control the transition of slides? (1) Action button (2) Hyperlink (3) Slide layout,(1) and (2) only,(1) and (3) only,(2) only,(3) only,A
q14,,,,,,D
q15,Ms Wong works in a publishing company and has to create the following three documents. (1) payment receipt (2) electronic book (3) template of a sales report. For which document(s) should she adopt the PDF format instead of the DOC format?,(1) only,(1) and (2) only,(2) and (3) only,"(1), (2) and (3)",B
q16,Cathy uses 'what-if' analysis in a spreadsheet to solve a problem. Which of the following statements about the analysis is correct?,The 'what-if' analysis involves different data sets.,The 'what-if' analysis involves different descriptions of the problem.,The problem involves a database file.,The problem involves a document file.,A
q17,Which of the following operations will enlarge the icons and text displayed on a visual display unit?,Reduce the number of colours displayed.,Increase the number of colours displayed.,Reduce the screen resolution.,Increase the screen resolution.,C
q18,Peter upgrades his desktop computer with a touch screen. Why?,This is a good ergonomic practice.,Many operating systems support touch screens.,A touch screen can be installed easily.,A touch screen allows for easier hand eye coordination than a keyboard.,D
q19,A supermarket uses thermal printers instead of dot-matrix printers to print receipts. What are the major reasons for using thermal printers? (1) Less printing noise (2) Shorter printing time (3) More durable receipts,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A
q20,,,,,,B
q21,The 64-bit version of an operating system is better than the 32-bit version because,the processing power of the CPU is higher.,the operating system can address more memory locations.,fewer program errors will occur.,the data transfer rate of RAM is higher.,B
q22,"In an instruction fetch cycle, which of the following registers are involved? (1) Accumulator (2) Memory Data Register (MDR) (3) Memory Address Register (MAR)",(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C
q23,"A charity organisation wants to donate laptop computers to the children in developing countries for elearning. With a limited budget, only one item in the original specifications can be upgraded. Which of these is the most appropriate?",No network card to 802.11n network interface card,Built-in graphics card to graphics card with 2G RAM,Dual-core CPU to Quad-core CPU,DVD disc drive to Blu-ray disc drive,A
